C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_294.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_294.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_294.jpg, 0, 0, 0, 10.07285
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_411.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_411.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_411.jpg, 0, 0, 0, 10.03596
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_528.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_528.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_528.jpg, 0, 0, 0, 10.00412
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_666.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_666.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_666.jpg, 0, 0, 0, 9.972794
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_791.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_791.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_791.jpg, 0, 0, 0, 9.949432
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_42_938.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_42_938.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_42_938.jpg, 0, 0, 0, 9.927722
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_43_067.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_43_067.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_43_067.jpg, 0, 0, 0, 9.897347
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_43_195.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_43_195.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_43_195.jpg, 0, 0, 0, 9.865681
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_43_299.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_43_299.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_43_299.jpg, 0, 0, 0.0695796, 9.248998
C:\Users\91961\Downloads\simulator-windows-64\IMG\center_2024_06_16_16_53_43_447.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\left_2024_06_16_16_53_43_447.jpg, C:\Users\91961\Downloads\simulator-windows-64\IMG\right_2024_06_16_16_53_43_447.jpg, 0, 0, 0.5094699, 7.290421
